timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 04:44:27.645, 0, 1 %, 0 %, 79635 MiB, 81920 MiB, 95.26 W
2026/08/07 04:44:32.648, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.09 W
2026/08/07 04:44:37.651, 0, 2 %, 0 %, 79635 MiB, 81920 MiB, 94.85 W
2026/08/07 04:44:42.653, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.65 W
2026/08/07 04:44:47.657, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 94.85 W
2026/08/07 04:44:52.660, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 94.74 W
2026/08/07 04:44:57.663, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.54 W
2026/08/07 04:45:02.666, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.65 W
2026/08/07 04:45:07.671, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.54 W
2026/08/07 04:45:12.674, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.65 W
2026/08/07 04:45:17.677, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 94.92 W
2026/08/07 04:45:22.680, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.84 W
2026/08/07 04:45:27.683, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.31 W
2026/08/07 04:45:32.686, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.54 W
2026/08/07 04:45:37.689, 0, 5 %, 0 %, 79637 MiB, 81920 MiB, 96.07 W
2026/08/07 04:45:42.724, 0, 5 %, 0 %, 79637 MiB, 81920 MiB, 96.08 W
2026/08/07 04:45:47.727, 0, 2 %, 0 %, 79637 MiB, 81920 MiB, 95.67 W
2026/08/07 04:45:52.729, 0, 5 %, 0 %, 79637 MiB, 81920 MiB, 95.95 W
2026/08/07 04:45:57.732, 0, 5 %, 0 %, 79637 MiB, 81920 MiB, 96.08 W
2026/08/07 04:46:02.735, 0, 8 %, 0 %, 79637 MiB, 81920 MiB, 96.83 W
2026/08/07 04:46:07.739, 0, 5 %, 0 %, 79637 MiB, 81920 MiB, 95.37 W
2026/08/07 04:46:12.743, 0, 9 %, 0 %, 79637 MiB, 81920 MiB, 96.18 W
2026/08/07 04:46:17.747, 0, 10 %, 0 %, 79637 MiB, 81920 MiB, 96.30 W
2026/08/07 04:46:22.750, 0, 10 %, 0 %, 79637 MiB, 81920 MiB, 96.42 W
2026/08/07 04:46:27.753, 0, 10 %, 0 %, 79637 MiB, 81920 MiB, 96.42 W
2026/08/07 04:46:32.756, 0, 4 %, 0 %, 79637 MiB, 81920 MiB, 95.95 W
2026/08/07 04:46:37.759, 0, 1 %, 0 %, 79637 MiB, 81920 MiB, 94.97 W
2026/08/07 04:46:42.761, 0, 4 %, 0 %, 79637 MiB, 81920 MiB, 95.65 W
2026/08/07 04:46:47.765, 0, 100 %, 3 %, 0 MiB, 81920 MiB, 116.85 W
2026/08/07 04:46:52.767, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.67 W
2026/08/07 04:46:57.769, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.88 W
2026/08/07 04:47:02.773, 0, 0 %, 0 %, 61299 MiB, 81920 MiB, 95.03 W
