timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 17:27:45.686, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:27:50.689, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.96 W
2026/08/07 17:27:55.691, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:28:00.694, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:05.696, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.96 W
2026/08/07 17:28:10.699, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:28:15.702, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:20.704, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:25.707, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:28:30.710, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 102.07 W
2026/08/07 17:28:35.713, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:40.715, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.55 W
2026/08/07 17:28:45.718, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:50.721, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:28:55.724, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:00.727, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:29:05.731, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:10.733, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:15.738, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:20.740, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.71 W
