timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/05 23:25:33.574, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 87.39 W
2026/08/05 23:25:33.579, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 104.61 W
2026/08/05 23:25:33.582, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 100.92 W
2026/08/05 23:25:33.587, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 64.90 W
2026/08/05 23:25:38.593, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.16 W
2026/08/05 23:25:38.596, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.46 W
2026/08/05 23:25:38.604, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 51.16 W
2026/08/05 23:25:38.608, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:25:43.612, 0, 0 %, 0 %, 30781 MiB, 40960 MiB, 73.56 W
2026/08/05 23:25:43.614, 1, 0 %, 0 %, 429 MiB, 40960 MiB, 71.51 W
2026/08/05 23:25:43.615, 2, 0 %, 0 %, 429 MiB, 40960 MiB, 69.21 W
2026/08/05 23:25:43.616, 3, 0 %, 0 %, 429 MiB, 40960 MiB, 72.36 W
2026/08/05 23:25:48.618, 0, 0 %, 0 %, 30781 MiB, 40960 MiB, 73.65 W
2026/08/05 23:25:48.621, 1, 0 %, 0 %, 429 MiB, 40960 MiB, 71.68 W
2026/08/05 23:25:48.624, 2, 0 %, 0 %, 429 MiB, 40960 MiB, 69.29 W
2026/08/05 23:25:48.626, 3, 0 %, 0 %, 429 MiB, 40960 MiB, 72.44 W
2026/08/05 23:25:53.629, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 55.69 W
2026/08/05 23:25:53.631, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 54.16 W
2026/08/05 23:25:53.634, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 51.16 W
2026/08/05 23:25:53.636, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:25:58.639, 0, 0 %, 0 %, 4 MiB, 40960 MiB, 54.16 W
2026/08/05 23:25:58.642, 1, 0 %, 0 %, 4 MiB, 40960 MiB, 53.46 W
2026/08/05 23:25:58.645, 2, 0 %, 0 %, 1 MiB, 40960 MiB, 51.16 W
2026/08/05 23:25:58.646, 3, 0 %, 0 %, 1 MiB, 40960 MiB, 53.17 W
2026/08/05 23:26:03.649, 0, 0 %, 0 %, 38915 MiB, 40960 MiB, 73.56 W
2026/08/05 23:26:03.651, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.79 W
2026/08/05 23:26:03.652, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:03.654, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:08.655, 0, 5 %, 0 %, 38927 MiB, 40960 MiB, 74.17 W
2026/08/05 23:26:08.663, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:08.664, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.58 W
2026/08/05 23:26:08.666, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.44 W
2026/08/05 23:26:13.667, 0, 3 %, 0 %, 38927 MiB, 40960 MiB, 73.93 W
2026/08/05 23:26:13.669, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:13.671, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:13.672, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:18.674, 0, 0 %, 0 %, 38927 MiB, 40960 MiB, 73.93 W
2026/08/05 23:26:18.676, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:18.677, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:18.679, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.44 W
2026/08/05 23:26:23.681, 0, 6 %, 0 %, 38927 MiB, 40960 MiB, 74.17 W
2026/08/05 23:26:23.683, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:23.684, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:23.685, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:28.687, 0, 4 %, 0 %, 38927 MiB, 40960 MiB, 73.93 W
2026/08/05 23:26:28.689, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:28.691, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:28.693, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.44 W
2026/08/05 23:26:33.695, 0, 0 %, 0 %, 38927 MiB, 40960 MiB, 73.85 W
2026/08/05 23:26:33.697, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:33.699, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:33.700, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.64 W
2026/08/05 23:26:38.702, 0, 0 %, 0 %, 38927 MiB, 40960 MiB, 73.93 W
2026/08/05 23:26:38.704, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:38.705, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:38.707, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:43.708, 0, 5 %, 0 %, 38927 MiB, 40960 MiB, 74.94 W
2026/08/05 23:26:43.710, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:43.712, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:26:43.713, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:48.714, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 111.77 W
2026/08/05 23:26:49.166, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 71.88 W
2026/08/05 23:26:49.168, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 69.74 W
2026/08/05 23:26:49.170, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 72.36 W
2026/08/05 23:26:54.172, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.40 W
2026/08/05 23:26:54.175, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.46 W
2026/08/05 23:26:54.177, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 51.16 W
2026/08/05 23:26:54.179, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:26:59.182, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.40 W
2026/08/05 23:26:59.184, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.46 W
2026/08/05 23:26:59.186, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 50.88 W
2026/08/05 23:26:59.189, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:27:04.192, 0, 0 %, 0 %, 30781 MiB, 40960 MiB, 73.93 W
2026/08/05 23:27:04.195, 1, 0 %, 0 %, 429 MiB, 40960 MiB, 71.88 W
2026/08/05 23:27:04.196, 2, 0 %, 0 %, 429 MiB, 40960 MiB, 69.50 W
2026/08/05 23:27:04.198, 3, 0 %, 0 %, 429 MiB, 40960 MiB, 72.36 W
